tag1	tag2	tag3	tag4	artist	count(1)
rock	classic rock	singer-songwriter	folk	Bruce Springsteen	12
rock	classic rock	singer-songwriter	glam rock	Lou Reed	2
rock	electronic	indie	alternative	Primal Scream	11
rock	french	rock francais	80s	Téléphone	3
rock	french	rock francais	alternative rock	No One Is Innocent	2
rock	french	rock francais	chanson francaise	Matmatah	22
rock	french	rock francais	france	Elmer Food Beat	4
rock	funk	alternative	alternative rock	Lenny Kravitz	7
rock	funk	alternative rock	indie	Big Soul	2
rock	hard rock	classic rock	80s	Bon Jovi	3
rock	hard rock	punk	Drum and bass	Silver	3
rock	indie	indie rock	true blood	Cobra Verde	1
rock	indie rock	punk rock	female fronted	Dead Posey	3
rock	japanese	hard rock	j-pop	Gmt	9
rock	latin	tex-mex	americana	Los Lobos	3
rock	metal	metal xmas	xmas	Tommy Shaw And Others	1
rock	new wave	80s	australian	Inxs	26
rock	new wave	80s	punk	Billy Idol	2
rock	new wave	classic rock	80s	The Police	72
rock	pop	indie	swedish	Ringo	1
rock	singer-songwriter	alternative	alternative rock	Nick Cave	83
rock	ska	pop	alternative	No Doubt	5
rock n roll	classic rock	rock	oldies	Elvis Presley	16
rock'n'roll	heavy metal	metal xmas	xmas	Lemmy Kilmister And Others	1
rocksteady	ska	reggae	jamaica	Byron Lee	2
roots	reggae			Brasucas	2
salsa	latin	Colombia	yuri buenaventura	Yuri Buenaventura	2
salsa	latin	pop	Marc Anthony	Marc Anthony	9
samba	brasil	Pagode	brazil	Arlindo Cruz	2
shoegaze	ethereal	female vocalists	downtempo	Mira	6
sid metal	Melodic Death Metal	Power metal	electronic	Degitx	2
singer-songwriter	Alt-country	country	female vocalists	Lucinda Williams	1
singer-songwriter	Alt-country	folk	rock	Ryan Adams	1
singer-songwriter	Grunge	rock	folk	Eddie Vedder	2
singer-songwriter	classic rock	folk	rock	Jackson Browne	2
singer-songwriter	folk	german	under 2000 listeners	Ghost Of A Chance	4
singer-songwriter	indie	indie pop	britpop	Richard Hawley	2
singer-songwriter	rock	australian	alternative	Mick Harvey	5
singer-songwriter	rock	blues	folk	Willy Deville	1
ska	00s	rocksteady	ska-jazz	Skamonics	1
ska	alternative	latin	rock	Mano Negra	7
ska	british	new wave	80s	Madness	18
ska	covers	ska punk	reggae	Skameleon	7
ska	french	chanson francaise	world	Zebda	13
ska	french	ska punk	rock	La Ruda Salska	18
ska	punk	french	chanson francaise	Marcel Et Son Orchestre	12
ska	punk	rock	covers	Punk Ska Covers	1
ska	reggae	60s	jamaica	Millie Small	2
ska	reggae	australian	rocksteady	Melbourne Ska Orchestra	5
ska	reggae	cover		Bob Kooparos	1
ska	reggae	punk	alternative	Sublime	1
ska	reggae	rocksteady	dub	Tommy Mccook	4
ska	reggae	rocksteady	jamaica	Desmond Dekker	1
ska	ska punk	female vocalists	punk	Save Ferris	1
ska	ska punk	french	punk	Les Caméléons	3
ska	ska punk	french	punk	Skarface	1
ska	ska punk	punk	alternative	Reel Big Fish	9
ska	ska punk	russian	austrian	Russkaja	8
ska	ska punk	skacore	punk	The Mighty Mighty Bosstones	3
ska	ska punk	spanish	punk	Ska-P	4
ska	swedish	punk rock	punk	Chickenpox	1
ska	swiss	ska punk	switzerland	The Ventilators	8
ska	two-tone	2 tone	british	The Selecter	2
ska	two-tone	reggae	punk	The Specials	1
ska punk	ska	punk	punk rock	Less Than Jake	3
ska punk	ska	punk	punk rock	The Interrupters	24
ska punk	ska	skacore	punk	Voodoo Glow Skulls	4
ska-punk	french	patchanka		Tactikollectif	1
soukous	congo	Congolese	world	Mbilia Bel	2
soul	60s	blues	oldies	Ben E  King	1
soul	60s	rhythm and blues	oldies	Barbara Lewis	1
soul	New Orleans	funk	rhythm and blues	Allen Toussaint	1
soul	afrobeat	ghana	jazz	Jojo Abot	2
soul	blues	female vocalists	funk	Sugar Pie Desanto	2
soul	blues	singer-songwriter	jazz	Michael Kiwanuka	2
soul	female vocalists	british	singer-songwriter	Adele	1
soul	funk	Disco	rnb	Barry White	3
soul	funk	New Orleans	rhythm and blues	Lee Dorsey	1
soul	funk	motown	pop	Stevie Wonder	5
soul	funk	motown	rhythm and blues	Marvin Gaye	2
soul	funk	northern soul	60s	Shirley Ellis	2
soul	funk	rnb	70s	William Devaughn	2
soul	funk	rnb	horns	Eli Paperboy Reed	2
soul	jazz	female vocalists	blues	Aretha Franklin	4
soul	jazz	female vocalists	chillout	Sade	12
soul	motown	60s	oldies	Four Tops	1
soul	pop	Disco	funk	The Jacksons	3
soul	pop	singer-songwriter	90s	Seal	1
soul	rhythm and blues	60s	funk	Sam & Dave	1
soul	rnb	Neo-Soul	funk	Lucy Pearl	1
soul	rnb	Neo-Soul	singer-songwriter	John Legend	1
sound effects	Canadian	Hip-Hop	hip hop	Sound Fx	5
space rock	Psychedelic Rock	Progressive rock	psychedelic	Hawkwind	1
spanish	pop	latin	female vocalists	Las Ketchup	1
surf rock	Garage Rock	60s	Surf	The Trashmen	3
swedish	heavy metal	metal	comedy	Black Ingvars	5
symphonic metal	Gothic Metal	Female fronted metal	metal	Delain	1
symphonic metal	Gothic Metal	Female fronted metal	metal	Within Temptation	2
symphonic metal	Gothic Metal	death metal	Progressive metal	Therion	2
synthpop	80s	new wave	pop	Erasure	2
synthpop	electronic	darkwave	hard rock	Trust	9
synthpop	new wave	80s	pop	Alphaville	1
synthpop	pop	belgian	french	Lio	2
synthwave	electronic	darksynth	retrowave	Gost	1
synthwave	electronic	synthpop	electro	Power Glove	1
synthwave	electronic	synthpop	retro electro	Perturbator	4
synthwave	electronic	synthpop	retrowave	Dance With The Dead	1
synthwave	retro electro	electronic	retrowave	Carpenter Brut	1
tango	electronic	chillout	lounge	Gotan Project	15
techno				Green Velvet & Harvard Bass	1
techno	Industrial Techno	hard techno	trance	Alignment	4
techno	electronic	Acid	electro	Beroshima	1
techno	electronic	House	french	Laurent Garnier	2
techno	electronic	House	punk	Slam	1
techno	electronic	eurodance	dance	U96	1
techno	electronic	germany	german	Hidden Empire	1
techno	italian	elektro-techno	Italy	Fedele	1
techno	minimal	electronic	electro	Thomas Schumacher	1
techno	tekno	Hardtek	freetekno	Spiral Tribe	2
thrash metal	Nu Metal	metal	groove metal	Soulfly	43
thrash metal	crossover	hardcore	thrashcore	Municipal Waste	3
thrash metal	death metal	metal	brazilian	Sepultura	127
thrash metal	death metal	metal xmas	heavy metal	Chuck Billy And Others	1
thrash metal	german	german thrash metal	metal	Destruction	2
thrash metal	groove metal	heavy metal	metal	Pantera	3
thrash metal	groove metal	metal	heavy metal	Machine Head	1
thrash metal	heavy metal	metal	hard rock	- Metallica	2
thrash metal	heavy metal	metal	hard rock	Enter Sandman	1
thrash metal	heavy metal	metal	hard rock	Metallica	57
thrash metal	heavy metal	speed metal	metal	Anthrax	4
thrash metal	heavy metal	speed metal	metal	Megadeth	64
thrash metal	industrial metal	metal	alternative metal	Prong	3
thrash metal	metal	groove metal	heavy metal	Channel Zero	8
thrash metal	metal	speed metal	heavy metal	Slayer	79
thrash metal	speed metal	heavy metal	metal	Overkill	2
top 50	french			Jean-Pierre François	1
trance				Kayashi	2
trance	dance	Hard Trance	electronic	Dj Deen	10
trance	electronic	ambient	chillout	Robert Miles	1
trance	electronic	dance	techno	Darude	1
trance	electronic	dance	techno	Tiësto	1
trance	psychedelic	electronic	goa	Astrix & Avalon	1
trap	Croatia	EDM		Tule	1
trip-hop	chillout	electronic	downtempo	Morcheeba	6
trip-hop	downtempo	electronic	Hip-Hop	Wax Tailor	2
trip-hop	electronic	Hip-Hop	french	Chinese Man	1
trip-hop	electronic	chillout	downtempo	Massive Attack	14
trip-hop	electronic	chillout	female vocalists	Hooverphonic	1
trip-hop	electronic	chillout	female vocalists	Olive	1
tropicalia	mpb	experimental	brazilian	Tom Zé	2
turkish	pop	Turkish Pop	dance	Tarkan	1
under 2000 listeners				Astero-H	4
under 2000 listeners				Sidaction	1
underground hip-hop	Hip-Hop	french hip-hop	rap	Droogz Brigade	5
us	Merge	Nigearia	nigeria	Rema & Selena Gomez	1
video game music	composer	Soundtrack	ambient	Michael John Gordon	9
violin	instrumental	electronic	Classical	Lindsey Stirling	7
vocal	french	a cappella	chanson francaise	Pow Wow	7
world	latin	Reggaeton		Farandula Boys	1
xmas	heavy metal	metal xmas		Geoff Tate And Others	1
zouk	french	latin	creole	Francky Vincent	3
zouk	french	pop	salsa	Zouk Machine	4
zouk	french	rnb	kizomba	Medhy Custos	3
