artist	nbr	tag1	tag2	artist:1
Bob Marley & The Wailers	22	reggae	roots reggae	Bob Marley & The Wailers
Rem	21	rock	alternative rock	Rem
Ramin Djawadi	21	Soundtrack	instrumental	Ramin Djawadi
Petits Chanteurs De Saint Marc	21	Soundtrack	Classical	Petits Chanteurs De Saint Marc
Mnemic	21	industrial metal	metalcore	Mnemic
Ken Ishii	21	techno	electronic	Ken Ishii
Eric Clapton And Steve Winwood	21	blues	blues rock	Eric Clapton And Steve Winwood
Dutronc	21	french	chanson francaise	Dutronc
Ub 40	20	reggae	80s	Ub 40
Skip The Use	20	french	seen live	Skip The Use
Phil Collins	20	pop	80s	Phil Collins
Nirvana	20	Grunge	rock	Nirvana
New Order	20	new wave	electronic	New Order
Mr  Oizo	20	electronic	electro	Mr  Oizo
Mark Ronson	20	funk	pop	Mark Ronson
Lycosia	20	french	metal	Lycosia
Lionel Richie	20	soul	pop	Lionel Richie
Howard Shore	20	Soundtrack	Classical	Howard Shore
Fatboy Slim	20	electronic	big beat	Fatboy Slim
V A	19	various artists		V A
Unknown	19	ambient	dubstep	Unknown
The Dandy Warhols	19	indie	rock	The Dandy Warhols
System Of A Down - Live At Lille	19	metal	alternative metal	System Of A Down - Live At Lille
Stephan Eicher	19	swiss	singer-songwriter	Stephan Eicher
Radio France	19	podcast	Radio	Radio France
Pen Of Chaos	19	humour	french	Pen Of Chaos
Alanis Morissette	19	female vocalists	rock	Alanis Morissette
U96	18	techno	electronic	U96
System Of A Down - Live Pirate	18	metal	alternative metal	System Of A Down - Live Pirate
Sting & The Police	18	rock	classic rock	Sting & The Police
Sticky Fingaz	18	Hip-Hop	rap	Sticky Fingaz
Sade	18	soul	female vocalists	Sade
No Artist	18	mysterious	mistagged artist	No Artist
Nine Inch Nails	18	industrial	industrial rock	Nine Inch Nails
Matt Uelmen	18	Soundtrack	ambient	Matt Uelmen
Julien Clerc	18	chanson francaise	french	Julien Clerc
James Brown	18	funk	soul	James Brown
Harmonia	18	krautrock	electronic	Harmonia
Cerealchiller	18	Speed-Tekno-Core		Cerealchiller
14	18	Hip-Hop	60s	14
13	18	Sludge	doom metal	13
Pro-Pain	17	hardcore	thrash metal	Pro-Pain
Nick Cave And The Bad Seeds	17	post-punk	rock	Nick Cave And The Bad Seeds
Modeselektor	17	electronic	idm	Modeselektor
Gramatik	17	Hip-Hop	funk	Gramatik
Freddie Mercury	17	rock	classic rock	Freddie Mercury
Eric Clapton	17	classic rock	blues	Eric Clapton
Wax Tailor	16	trip-hop	downtempo	Wax Tailor
The Do	16	indie	female vocalists	The Do
Texas	16	pop	rock	Texas
Placebo	16	alternative rock	alternative	Placebo
Parabellum	16	black metal	punk	Parabellum
Les Inconnus	16	humour	french	Les Inconnus
Elmer Food Beat	16	french	rock	Elmer Food Beat
Cake	16	alternative	rock	Cake
Best Of	16	jazz	Bossa Nova	Best Of
Beatles	16	classic rock	rock	Beatles
Avril Lavigne	16	pop	pop rock	Avril Lavigne
Wolfgang Amadeus Mozart	15	Classical	instrumental	Wolfgang Amadeus Mozart
Téléphone	15	rock	french	Téléphone
The  Christians	15	soul	pop	The  Christians
System Of A Down - Inédits	15	metal	alternative metal	System Of A Down - Inédits
Slipknot	15	Nu Metal	metal	Slipknot
Robert Johnson	15	blues	delta blues	Robert Johnson
Oratory	15	Power metal	symphonic metal	Oratory
Niagara	15	french	rock	Niagara
Mickey 3D	15	french	rock	Mickey 3D
Killing Joke	15	post-punk	industrial	Killing Joke
Jeff Mills & Montpellier Philarmonic Orchestra	15	detroit techno	techno	Jeff Mills & Montpellier Philarmonic Orchestra
Indecision	15	hardcore	metalcore	Indecision
Glenn Stafford	15	Soundtrack	video game music	Glenn Stafford
Fall Out Boy	15	pop punk	rock	Fall Out Boy
Evanescence	15	rock	Gothic Rock	Evanescence
Enya	15	new age	celtic	Enya
Def Leppard	15	hard rock	classic rock	Def Leppard
Bangles	15	80s	pop	Bangles
Woodkid	14	indie	alternative	Woodkid
Urge Overkill	14	rock	alternative rock	Urge Overkill
The City Of Prague Philharmonic Orchestra	14	Classical	symphonic	The City Of Prague Philharmonic Orchestra
System Of A Down Track	14	metal	alternative metal	System Of A Down Track
System Of A Down - Toxicity	14	metal	alternative metal	System Of A Down - Toxicity
Serj Tankian	14	alternative metal	alternative	Serj Tankian
Noir Désir	14	french	rock	Noir Désir
Moriarty	14	folk	indie	Moriarty
Mattafix	14	Hip-Hop	trip-hop	Mattafix
Mary Beats Jane	14	thrash metal	metal	Mary Beats Jane
In This Moment	14	metalcore	melodic metalcore	In This Moment
Elvis Presley	14	rock n roll	classic rock	Elvis Presley
Dj Zebra	14	mashup	bootleg	Dj Zebra
Burning Heads	14	punk rock	punk	Burning Heads
Bullet For My Valentine	14	metalcore	metal	Bullet For My Valentine
Ben Harper	14	singer-songwriter	acoustic	Ben Harper
Avenged Sevenfold	14	metalcore	metal	Avenged Sevenfold
The Xx	13	indie	electronic	The Xx
The John Butler Trio	13	acoustic	australian	The John Butler Trio
The Arrs	13	metalcore	hardcore	The Arrs
Renan Luce	13	french	chanson francaise	Renan Luce
Primal Scream	13	rock	indie	Primal Scream
Pj Harvey	13	female vocalists	alternative	Pj Harvey
Norah Jones	13	jazz	female vocalists	Norah Jones
Napalm Death	13	grindcore	death metal	Napalm Death
La Ruda Salska	13	ska	french	La Ruda Salska
Keane	13	britpop	indie	Keane
Johnny Hallyday	13	french	chanson francaise	Johnny Hallyday
Gipsy Kings	13	Flamenco	latin	Gipsy Kings
Easy Stars All-Stars	13	reggae	dub	Easy Stars All-Stars
Coldplay	13	rock	alternative	Coldplay
Bee Gees	13	Disco	pop	Bee Gees
Barry White	13	soul	funk	Barry White
Antonio Vivaldi	13	Classical	baroque	Antonio Vivaldi
Tears For Fears	12	new wave	80s	Tears For Fears
Tarace Boulba	12	funk	french	Tarace Boulba
Susan Boyle	12	female vocalists	british	Susan Boyle
Superbus	12	french	pop rock	Superbus
Spudmonsters	12	hardcore	seen live	Spudmonsters
Pop Evil	12	post-grunge	alternative rock	Pop Evil
Mark  Ronson	12	funk	pop	Mark  Ronson
Low	12	slowcore	indie	Low
Guns N Roses	12	hard rock	rock	Guns N Roses
Genesis	12	Progressive rock	classic rock	Genesis
Dixieland Jazz Band	12	jazz	dixieland	Dixieland Jazz Band
Collectif Métissé	12	french	dance	Collectif Métissé
Claude François	12	french	chanson francaise	Claude François
Bruno Mars	12	pop	rnb	Bruno Mars
Bijou	12	rock	hungarian	Bijou
Aqme	12	Nu Metal	metal	Aqme
Twenty One Pilots	11	electronic	alternative	Twenty One Pilots
The Whitest Boy Alive	11	indie	electronic	The Whitest Boy Alive
The Cavalera Conspiracy	11	thrash metal	groove metal	The Cavalera Conspiracy
Story Of The Year	11	post-hardcore	rock	Story Of The Year
Sonic Youth	11	alternative	experimental	Sonic Youth
Shakira	11	pop	latin	Shakira
Sebastien Tellier	11	electronic	french	Sebastien Tellier
Rone	11	minimal	techno	Rone
Raphael	11	french	visual kei	Raphael
